Price,Close,High,Low,Open,Volume
Ticker,SU.PA,SU.PA,SU.PA,SU.PA,SU.PA
Date,,,,,
2015-01-02,46.460811614990234,47.41405225370752,46.18956240400343,47.01105570657817,1004130
2015-01-05,44.438072204589844,46.739800986279924,44.345073927900295,45.995805903677834,2677991
2015-01-06,44.50007629394531,45.39131901898326,43.802584686681215,44.45357862727844,2419095
2015-01-07,44.77907180786133,45.49981516761579,44.48457674629877,44.802323596356814,1451756
2015-01-08,46.62356185913086,46.956808964826635,45.9880680660279,46.11981540921048,3073304
2015-01-09,45.56956481933594,46.68555606840223,45.1975687217679,46.38330646753865,2440391
2015-01-12,46.1585578918457,46.5150537595632,45.43781457525571,45.87956009750609,1611034
2015-01-13,47.631046295166016,47.85579486722731,46.42205968532897,46.88705408044133,2507284
2015-01-14,46.70880889892578,47.770548036392384,46.34456139546892,46.763058149692235,1940169
2015-01-15,48.1967887878418,48.313038860526866,44.949570854215565,47.29004886380197,2981240
2015-01-16,48.72378921508789,48.84778792627286,47.654301439753496,47.731799525608174,2809861
2015-01-19,49.27402877807617,49.57627540587641,48.47578442456357,48.85553208280106,1995823
2015-01-20,50.281517028808594,50.63026724137569,49.56852526622248,49.59952567929895,3044354
2015-01-21,51.668758392333984,51.668758392333984,50.05677226640011,50.413274087465496,2946213
2015-01-22,52.33525848388672,52.68400876250764,51.02551886877938,51.80051160430319,3374857
2015-01-23,52.88549041748047,53.474486416177896,52.482496889565795,52.69949385942169,3672025
2015-01-26,53.24199676513672,53.31174918359251,52.614254562660236,52.870003575789596,2160653
2015-01-27,52.133758544921875,53.397000483798195,51.69201292364114,53.397000483798195,2210956
2015-01-28,51.90901184082031,52.58325168220824,51.2967669196035,52.56775443034668,1959990
2015-01-29,52.19575119018555,52.36625051071292,51.34326050027306,51.57576064876028,2428768
2015-01-30,51.92450714111328,52.769246284853416,51.614508901009465,52.76150061557618,2141645
2015-02-02,52.079498291015625,52.35075042044543,51.62225551324369,52.009751797887326,1808634
2015-02-03,53.24199676513672,53.46674536036629,52.24226137331311,52.47475563847378,1899142
2015-02-04,52.93198776245117,53.350478490654034,52.637486841397624,53.00173424624389,1385330
2015-02-05,52.95524597167969,52.95524597167969,51.80825431786546,52.23450261452177,1805116
2015-02-06,52.699501037597656,52.955250035216416,52.513504454204366,52.955250035216416,1198498
2015-02-09,52.11050033569336,52.55999745901441,51.39750856866813,52.32749731585545,1374556
2015-02-10,52.467002868652344,52.73050345847573,51.971008018928906,52.389504782018996,1540316
2015-02-11,52.854496002197266,52.96299449943473,52.32750076730478,52.92424841483543,1833514
2015-02-12,53.15673828125,53.35823800782943,52.420497694548004,52.69949549666593,1974449
2015-02-13,53.83098602294922,54.20298507763734,53.2807419789481,53.482241713267676,1713448
2015-02-16,53.54424285888672,53.99374004439401,53.52874560647012,53.6682445291198,923490
2015-02-17,53.59074783325195,53.94724377534206,52.57550334821086,53.311749980707475,1278166
2015-02-18,54.25724411010742,54.39674304168597,53.55199786914768,53.993743500358846,1307175
2015-02-19,55.349979400634766,55.768476184687586,53.45900115861588,54.12548946722745,2307659
2015-02-20,55.318965911865234,55.55921762224204,54.21072633243336,55.2957170814761,2772441
2015-02-23,55.28022003173828,55.95445976635335,54.92372416812854,55.869210112802776,1212125
2015-02-24,54.97798538208008,55.318978157812666,54.59048902255084,55.14073314355533,1608263
2015-02-25,55.225975036621094,55.295721533403864,54.72998023930678,54.83847873167401,1374473
2015-02-26,55.49722671508789,55.52822713205355,55.0399779557506,55.32672737813924,1138659
2015-02-27,55.78397750854492,55.78397750854492,55.10973172660125,55.3267287379693,1436760
2015-03-02,54.9702262878418,55.58247116176395,54.799726966911024,55.34222534375662,1485844
2015-03-03,54.98572540283203,55.621219130659846,54.83072924003485,54.98572540283203,1839834
2015-03-04,55.024478912353516,55.342228741363726,54.443234416800486,55.132977411838766,1426328
2015-03-05,55.66771697998047,55.96221202407354,55.01672015524317,55.27246911898725,1391770
2015-03-06,55.760711669921875,56.17920835691791,55.489465459662576,55.535969033366975,1111375
2015-03-09,54.91596984863281,55.287962943100226,54.89272101931905,55.287962943100226,1304793
2015-03-10,54.38898849487305,55.02448227905168,54.0634929765017,54.90048060763871,1554765
