Price,Close,High,Low,Open,Volume
Ticker,MC.PA,MC.PA,MC.PA,MC.PA,MC.PA
Date,,,,,
2015-02-27,134.59405517578125,134.59405517578125,132.41789020933123,132.54106462990015,855078
2015-03-02,135.29205322265625,135.37417784225823,134.0191968015716,134.59403154741244,845868
2015-03-03,133.36224365234375,136.5649160092373,133.15694462422718,135.49735855693945,760748
2015-03-04,135.5794677734375,135.5794677734375,133.44435311147123,134.1013124328806,903311
2015-03-05,137.7145538330078,137.9609151160919,135.62050172247606,135.82580070330357,795135
2015-03-06,138.70001220703125,138.86426144657705,137.38610600386866,137.42716831375512,800225
2015-03-09,137.79673767089844,138.4126348781309,136.8934167547732,138.00203673997592,837924
2015-03-10,136.5238494873047,138.33047837292483,136.31855046551928,137.22187117355827,803530
2015-03-11,140.83511352539062,140.9582879127929,135.9900621539009,136.56489684587243,1051783
2015-03-12,140.09605407714844,140.62982650864785,139.39803240784218,140.26029078449767,595838
2015-03-13,140.6298065185547,140.67086882216952,139.31588798561506,140.26027084693285,529314
2015-03-16,143.4629669189453,144.03780172594753,140.8762040222058,141.45103882920802,895031
2015-03-17,141.82058715820312,143.46297962681106,140.79409186532317,143.29874288604228,849361
2015-03-18,140.21923828125,141.40997015587755,138.86426968778733,141.40997015587755,958047
2015-03-19,138.207275390625,140.38343955933422,138.207275390625,139.60330594397368,1054885
2015-03-20,138.98744201660156,139.521214477451,136.64702808419779,138.20730821595305,1540391
2015-03-23,135.08676147460938,136.03113199857071,131.51455334744398,135.49735953380272,1144696
2015-03-24,136.6880645751953,137.38608615102498,135.12779726863664,135.57945755120548,924880
2015-03-25,134.34768676757812,137.09868618011365,133.8139017851162,136.60597603913885,921623
2015-03-26,133.3211669921875,133.97811372534682,130.93969122788994,133.85493934549336,1465220
2015-03-27,133.23907470703125,134.51193123960005,132.4589408743145,133.8549718166169,1021788
2015-03-30,135.08676147460938,136.56491699379708,133.7317928914547,134.47086438581937,846369
2015-03-31,134.79928588867188,135.7026062830704,133.6496167780315,135.3330706782541,931123
2015-04-01,134.101318359375,135.66158585252725,132.54103833576536,133.73178264051867,1079141
2015-04-02,134.30661010742188,135.20991820126318,133.40328948312384,133.64965079251937,635968
2015-04-07,135.94900512695312,136.23641621887103,134.51191207599265,135.74370611967305,801999
2015-04-08,137.55035400390625,137.55035400390625,135.29206460981226,136.031136126605,1206921
2015-04-09,140.26026916503906,140.26026916503906,137.9609180251947,138.37151599550776,915535
2015-04-10,141.57421875,141.86164242991447,140.09607562603853,140.75302255648387,884643
2015-04-13,141.6973876953125,142.02586111880416,139.7265095629889,140.79406698502362,994188
2015-04-14,138.1662139892578,142.14901922639032,137.18078138814468,141.86159564127362,1409767
2015-04-15,140.5887451171875,141.12253000669426,139.23377680239315,139.48013809520737,930444
2015-04-16,138.8231964111328,140.79406194241093,138.2483616753815,139.4390934559644,918180
2015-04-17,135.8668975830078,139.43910577069795,135.37418742190272,138.7821463587659,1402328
2015-04-20,135.4973602294922,137.01657806849107,135.00463754374704,135.9490206030155,963464
2015-04-21,136.36990356445312,138.23969193500605,136.12059591231662,136.66075192501745,808552
2015-04-22,133.66912841796875,136.36993445386548,133.25361979706156,135.7466715225047,1160505
2015-04-23,132.3810272216797,134.79097175148908,131.63310421978682,134.12615553213365,1198841
2015-04-24,133.83531188964844,134.12616027819178,132.3394785132473,133.5028974280509,1108499
2015-04-27,135.16494750976562,135.16494750976562,132.17329308724666,133.83532754875162,858188
2015-04-28,132.00709533691406,135.0403032296376,130.46970835109602,135.0403032296376,841900
2015-04-29,129.43089294433594,133.79373203234726,129.38933955981616,132.46409980959018,1040647
2015-04-30,130.1372833251953,131.2175954142066,128.05974056892026,130.34503760082282,1330591
2015-05-04,132.54722595214844,132.92118110685962,129.88797379826227,131.71620886153937,806624
2015-05-05,128.5167694091797,134.58319582958444,128.39212193573607,132.58876017261068,1231167
2015-05-06,128.1844024658203,130.13729794828504,126.64701558129993,128.59991106376464,1116650
2015-05-07,129.55557250976562,130.01263449207664,125.15119162653892,127.27027527852634,1409976
2015-05-08,133.62754821777344,133.62754821777344,129.1816017936754,130.6774350649813,1026748
2015-05-11,131.59158325195312,133.79377383613553,131.09296784254894,133.79377383613553,720028
2015-05-12,129.55557250976562,130.76055755776258,128.89076891402135,130.76055755776258,890598
2015-05-13,128.30906677246094,131.13453321660757,128.01821832400907,129.63869953209672,741004
2015-05-14,132.00709533691406,132.29794376644927,126.77168412179395,128.0597633963554,729651
2015-05-15,131.92398071289062,133.87687620816854,130.80210241895375,133.0458590068275,971636
2015-05-18,133.08740234375,133.37826344207426,130.26194887567064,132.63035301826395,532555
2015-05-19,137.9072723388672,137.94882572605218,133.75218722663672,133.7937406138217,1259460
2015-05-20,137.94883728027344,138.36434582629835,136.82695913388034,137.90728388960804,606169
2015-05-21,137.61643981933594,137.99039498639038,136.32836075031295,137.24247197196658,478351
2015-05-22,138.28123474121094,138.98760431959462,135.87129032139742,137.28401679785065,628900
2015-05-25,137.86572265625,138.5720922164353,137.36712003757253,138.5720922164353,74424
2015-05-26,137.11782836914062,139.4031255086263,136.49456551291726,138.031952297061,746734
2015-05-27,139.48622131347656,139.86017646170686,136.53610815687873,137.61643289201072,924789
2015-05-28,138.4059295654297,140.02641071418918,137.24249777326384,138.6552372837736,654715
2015-05-29,134.74942016601562,138.73830485528907,134.7078794545049,138.65521075195278,1251558
2015-06-01,135.62200927734375,136.07907128949392,133.75222051153392,133.79377390905967,636562
2015-06-02,137.200927734375,139.36156457756024,136.45300473917217,137.49177611002506,1299283
2015-06-03,137.57489013671875,139.65243298783105,136.61921281701794,137.90729192077063,721096
2015-06-04,135.82974243164062,137.8241910794286,133.9184005659618,136.57766542967912,1075593
2015-06-05,133.2120361328125,135.4973330285771,133.08737596667336,135.28957876532576,802306
2015-06-08,133.17047119140625,135.6635221341471,133.00427033128608,133.75218054198322,768094
2015-06-09,128.93231201171875,133.29515226109152,127.97664731493492,133.00430385265628,1791289
2015-06-10,134.2508087158203,135.08182577666685,127.8519798833648,128.5167833877908,1376647
2015-06-11,137.53335571289062,139.56934545173104,134.91565643156966,135.0818573465188,1311296
2015-06-12,134.91563415527344,138.53055100973737,133.54444830262997,137.5748863963344,915409
2015-06-15,132.83807373046875,134.5832018381552,132.83807373046875,133.37822971325696,727541
2015-06-16,133.2120361328125,133.91839301967866,130.88518584833488,131.67464951262713,919997
2015-06-17,132.29788208007812,134.3754242379949,130.968262707198,133.54440737482818,925210
2015-06-18,132.87960815429688,132.92116153877294,129.43089280810017,131.75774285531955,1021329
2015-06-19,132.92117309570312,136.1621471619338,132.46411118735236,132.92117309570312,1361113
2015-06-22,139.61087036132812,139.86017802303624,135.66353920527868,135.8712934766497,1226094
2015-06-23,141.5637969970703,142.3532608673978,139.8186556581845,140.857427245541,821228
2015-06-24,141.97927856445312,142.39478712018132,140.02638328040464,141.48066322545336,873797
2015-06-25,142.02084350585938,142.93496755654547,139.5693451448774,140.6496701101472,1267703
2015-06-26,142.27011108398438,143.97369850860485,140.48342956567106,141.10669232977756,781158
2015-06-29,135.9544219970703,138.90452297802224,135.5389133878865,136.86853332908484,1468007
2015-06-30,130.5943603515625,134.29239738818305,130.5943603515625,133.58602762875012,2018611
2015-07-01,134.33392333984375,135.66355591249072,131.21760888549863,132.67188896419302,1423421
2015-07-02,132.0486297607422,134.99874339596647,131.92398225121403,134.95718999935164,732236
2015-07-03,131.00982666015625,132.67186068149823,130.4281172887492,132.1317046966874,602073
2015-07-06,127.35337829589844,129.72178224661064,127.0625172211389,128.5583506278879,1261260
2015-07-07,122.94898986816406,128.26750745531308,122.94898986816406,128.22595406003927,1508259
2015-07-08,124.11241912841797,125.77445346462542,123.8215580474554,124.19551323703894,1476190
2015-07-09,127.47801208496094,128.05973417191075,124.98496090196707,125.1511744584179,1296695
2015-07-10,131.92398071289062,132.38104270969143,129.3478223166069,130.55280740280438,1281926
2015-07-13,134.62477111816406,135.2064805560685,133.71064722980373,133.71064722980373,1274659
2015-07-14,135.20648193359375,135.20648193359375,133.1704925400276,134.3754648194594,626028
2015-07-15,134.20925903320312,135.41423126864578,133.95995137200117,135.24803038794929,838607
2015-07-16,134.87408447265625,136.78542643234323,134.62477679438138,135.04028536473442,1503743
2015-07-17,138.73829650878906,138.86295667676626,135.1649205921161,135.4557816370821,1186561
2015-07-20,140.56655883789062,141.3144819501835,138.44747505385214,139.4446931899261,875068
2015-07-21,139.90174865722656,141.68843053911246,139.40313327235256,140.6496590542216,745660
2015-07-22,139.1953887939453,140.44191466374184,138.6552326558269,138.86298696745965,571982
2015-07-23,138.94602966308594,140.4418626893306,138.32276695884335,140.06790760284747,591934
2015-07-24,137.9903564453125,141.23131722832844,137.6164013827047,138.9460207920114,742718
2015-07-27,133.75221252441406,137.94885181757826,133.6275650195968,137.4917898327219,932594
2015-07-28,137.78265380859375,138.61367100565366,135.912865115209,136.41146782525524,1143499
2015-07-29,140.4418487548828,142.93489932449612,140.1925411618593,142.14543584684742,1726840
2015-07-30,140.1094970703125,141.1067151178664,138.61366365882395,140.69120654135932,874426
2015-07-31,141.85462951660156,141.85462951660156,139.56933228083807,140.06794765894915,844474
2015-08-03,142.22857666015625,142.8102987951334,140.98205096574537,141.854621487896,631723
2015-08-04,142.1870880126953,142.3948423711707,140.9821025892822,142.31173555565266,472366
2015-08-05,145.9266357421875,146.00972985989137,142.64410742511643,142.93496853787263,941618
2015-08-06,145.71885681152344,146.75762820972272,145.30334825224372,145.42799574790166,611709
2015-08-07,144.13992309570312,145.51110901056532,143.6828611240824,145.51110901056532,589595
2015-08-10,144.84625244140625,145.26176090355582,143.72437452147759,144.8046990591289,602360
2015-08-11,136.9931640625,143.39199273193245,136.3283478946975,143.35043934388597,1472539
2015-08-12,129.51402282714844,134.20926446863092,128.72454642131632,134.20926446863092,1995172
2015-08-13,133.29513549804688,133.9183983124336,131.7993148877703,131.7993148877703,1212700
2015-08-14,132.63034057617188,134.62477663944497,131.88241754220803,133.75220610664476,684756
2015-08-17,133.2120361328125,135.04027111336137,131.34224776355057,134.20925406035607,593420
2015-08-18,132.0486297607422,133.5029098800469,131.42536685246873,132.63035195271715,538111
2015-08-19,128.05978393554688,131.25919325548114,128.05978393554688,131.05143890949896,865757
2015-08-20,123.0320816040039,128.22593836979001,122.65812645293019,127.68576965795963,1455796
2015-08-21,121.07918548583984,124.77720893946449,120.78833711731143,120.82987782687671,1537509
2015-08-24,115.76068878173828,120.24817621303397,112.02111169555351,118.04598588996231,2917559
2015-08-25,122.61656951904297,123.57223406420253,116.96565098512,117.75511465464061,2034184
2015-08-26,121.203857421875,123.07364602514504,118.96010095369854,122.15952208030903,1381801
2015-08-27,125.60821533203125,126.3561382453051,123.90464061469714,124.81875171272539,1143928
2015-08-28,125.44202423095703,126.23148791171215,123.44758833427949,125.94063954528352,698027
2015-08-31,123.53070831298828,124.86034097620943,122.65815035058604,124.23707804288392,616837
2015-09-01,119.83268737792969,121.910230545648,118.75236239465272,121.66092282945837,1168328
2015-09-02,122.28416442871094,123.4060426155235,119.62491217440575,120.70523696905582,1100711
2015-09-03,124.7771987915039,126.02372430462708,122.69965626963196,123.82153430356811,1012239
2015-09-04,121.28694152832031,123.61379191214115,120.62212532146944,123.11517658692438,1251245
2015-09-07,121.82710266113281,123.65533760594195,121.24538059114992,122.24261117951279,367037
2015-09-08,122.82433319091797,124.77721581979873,122.45037802201016,122.86588658308882,671731
2015-09-09,124.44480895996094,127.22872127760171,124.44480895996094,126.31459740844116,757910
2015-09-10,124.02930450439453,125.10962929074704,122.99053310988536,123.48914845137571,881916
2015-09-11,123.11516571044922,124.69410564726962,122.57500972277926,124.61099887363733,728954
2015-09-14,122.7412338256836,124.90188354601938,122.20107773575752,123.03209490814578,667047
2015-09-15,124.56948852539062,125.10965738000144,122.03489589798083,123.15676164773981,748725
2015-09-16,129.26475524902344,129.88801828042634,126.43928856513904,126.97945746721284,1117304
2015-09-17,129.30625915527344,130.01261604561125,128.35058193143198,129.59710751706643,618884
2015-09-18,125.19271850585938,128.3505859579285,124.02929966156177,128.3505859579285,2365748
2015-09-21,126.43927764892578,127.47804927824761,125.23430509497602,125.23430509497602,766840
2015-09-22,122.49195861816406,126.7301523932801,121.78560144252413,126.64704558187817,1061465
2015-09-23,122.65816497802734,123.82158418685027,121.41163896272347,122.61661157478687,948893
2015-09-24,119.7080078125,123.86309303556273,118.21217459613466,123.03207599095018,977092
2015-09-25,125.60821533203125,126.85474084050782,121.45313030377598,122.11794644435946,1103402
2015-09-28,122.28416442871094,125.40047863617366,121.53625409104588,124.90187597116861,858025
2015-09-29,120.95455169677734,122.03487655444081,119.20941056668129,120.70524400957567,878676
2015-09-30,126.48078918457031,127.35335960044029,123.6968897476591,123.77998384230976,1022741
2015-10-01,124.44480895996094,128.89075545402858,123.48914438064128,128.2674926378685,959134
2015-10-02,123.98775482177734,126.23149856497817,120.99610072428133,125.81598999474411,962834
2015-10-05,130.0957794189453,130.4281813142602,125.7744913782543,126.14844668056341,1031535
2015-10-06,132.33946228027344,133.29512679447336,129.72176370289895,130.09571883105053,795234
2015-10-07,133.7937469482422,135.49733446097517,132.0070653375186,132.63032813386135,1059937
